Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical Final,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Janet Lois Stott,TL Ventures,,,,Venture Capital,www.tl.ventures,West Coast,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$6.00,,www.tl.ventures,$5B to $10B,,,,,,,,,,,,
Dominic Wilhelm,Headline (San Francisco),,,,Venture Capital,www.headline.com,"Asia, Brazil, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$5.00,"San Francisco, CA",www.headline.com,$5B to $10B,,,,,,,,,,,,
Emanuel Martinez,GreenHills Ventures,,,,Venture Capital,www.greenhillsventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$2.50,"New York, NY",www.greenhillsventures.com,$5B to $10B,,,,,,,,,,,,
Phil Sanderson,Griffin Gaming Partners,,,,Venture Capital,www.griffingp.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$2.50,"Santa Monica, CA",www.griffingp.com,$5B to $10B,,,,,,,,,,,,
Sharon Stevenson,Okapi Venture Capital,,,,Venture Capital,www.okapivc.com,"California, Southern California","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.75,$3.00,,www.okapivc.com,$5B to $10B,,,,,,,,,,,,
Fabrice Chesnais,Ontario Teachers' Pension Plan,,,,Limited Partner,www.otpp.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$58.57,$780.96,"Toronto, Canada",www.otpp.com,$5B to $10B,,,,,,,,,,,,
Peggy Wallace,Golden Seeds,,,,Venture Capital,www.goldenseeds.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"New York, NY",www.goldenseeds.com,Over $10 Billion,,,,,,,,,,,,
David A. Cohen,Karlin Ventures,,,,Venture Capital,www.karlinvc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Los Angeles, CA",www.karlinvc.com,Over $10 Billion,,,,,,,,,,,,
Christopher E. Girgenti,Pritzker Group Venture Capital,,,,Venture Capital,www.pritzkergroup.com/venture-capital,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.50,"Chicago, IL",www.pritzkergroup.com/venture-capital,Over $10 Billion,,,,,,,,,,,,
Daniel S. Lankford,Wavepoint Ventures,,,,Venture Capital,www.wavepointventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$1.50,"Menlo Park, CA",www.wavepointventures.com,Over $10 Billion,,,,,,,,,,,,
Rajeev Shah,RA Capital Management,,,,Hedge Fund,www.racap.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$75.00,,www.racap.com,Over $10 Billion,,,,,,,,,,,,
Gary M. Lauder,Lauder Partners,,,,Venture Capital,www.lauderpartners.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.lauderpartners.com,Under $5 Billion,,,,,,,,,,,,
Hugo Braun,North Coast Technology Investors,,,,Venture Capital,www.northcoastvc.com,"Indiana, Michigan, Midwest, Ohio","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$4.00,,www.northcoastvc.com,Under $5 Billion,,,,,,,,,,,,
Steve Rector,Cowles Company,,,,Family Office,www.cowlescompany.com,"Midwest, Mountain, Northwest, West Coast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"Spokane, WA",www.cowlescompany.com,Under $5 Billion,,,,,,,,,,,,
Gregory Myers,Mason Wells,,,,PE/Buyout,www.masonwells.com,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$7.50,"Milwaukee, WI",www.masonwells.com,$5B to $10B,,,,,,,,,,,,
Jérôme Faul,Innovacom (Paris),,,,Venture Capital,www.innovacom.com,Europe,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$1.03,"Paris, France",www.innovacom.com,$5B to $10B,,,,,,,,,,,,
Grant A. Jackson,Council Capital,,,,PE/Buyout,www.councilcapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$1.00,"Nashville, TN",www.councilcapital.com,$5B to $10B,,,,,,,,,,,,
Nitin Rai,Elevate Capital,,,,Venture Capital,www.elevate.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.20,"Hillsboro, OR",www.elevate.vc,$5B to $10B,,,,,,,,,,,,
Brian Schwenk,1315 Capital,,,,Growth/Expansion,www.1315capital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$3.00,"Philadelphia, PA",www.1315capital.com,$5B to $10B,,,,,,,,,,,,
Clara Barby,Bridges Fund Management,,,,Asset Manager,www.bridgesfundmanagement.com,"Canada, Central America, Europe, North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.27,$2.70,"London, United Kingdom",www.bridgesfundmanagement.com,$5B to $10B,,,,,,,,,,,,
Paul Ciriello,Fairhaven Capital Partners,,,,Venture Capital,www.fairhavencapital.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$7.00,"Boston, MA",www.fairhavencapital.com,Over $10 Billion,,,,,,,,,,,,
Donald M. Johnston,Massey Burch Capital,,,,Venture Capital,www.masseyburch.com,"South, Southeast, Southwest","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$0.75,"Nashville, TN",www.masseyburch.com,Over $10 Billion,,,,,,,,,,,,
Segolene Scarborough,Lux Capital,,,,Venture Capital,www.luxcapital.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$50.00,,www.luxcapital.com,Over $10 Billion,,,,,,,,,,,,
Brian Epp,Atami Capital,,,,Venture Capital,www.atamicapital.co.uk, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$2.62,"Douglas, United Kingdom",www.atamicapital.co.uk,Over $10 Billion,,,,,,,,,,,,
Jack Litowitz,Reimagined Ventures,,,,Family Office,www.reimaginedventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$25.00,"Winnetka, IL",www.reimaginedventures.com,Under $5 Billion,,,,,,,,,,,,
Keith Hamlin,Third Prime,,,,Venture Capital,www.thirdprime.vc,"Canada, Midwest, New York, Southeast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.05,$0.45,"New York, NY",www.thirdprime.vc,Under $5 Billion,,,,,,,,,,,,
Ashley Cravens,Uncork Capital,,,,Venture Capital,www.uncorkcapital.com,"Bay Area, Canada, New York Metro, Southern California","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.20,"Palo Alto, CA",www.uncorkcapital.com,Under $5 Billion,No,800,10X and above,"IPO,Liquidation",Heavily Supportive,Heavily Involved ,Months,5,50%,High,55%,No
Teppei Tsutsui,GFR Fund,,,,Venture Capital,www.gfrfund.com,"California, Europe, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"San Francisco, CA",www.gfrfund.com,Under $5 Billion,,,,,,,,,,,,
,PSINet Ventures,,,,Venture Capital,www.psinet.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"Herndon, VA",www.psinet.com,Under $5 Billion,,,,,,,,,,,,
Charlie E. O'Donnell,Brooklyn Bridge Ventures,,,,Venture Capital,www.brooklynbridge.vc,New York,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.04,$0.04,"Brooklyn, NY",www.brooklynbridge.vc,$5B to $10B,,,,,,,,,,,,
Harry A. George,Solstice Capital,,,,Venture Capital,www.solcap.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.solcap.com,$5B to $10B,,,,,,,,,,,,
Antony Ross,Bridges Fund Management,,,,Asset Manager,www.bridgesfundmanagement.com,"Canada, Central America, Europe, North America, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.27,$2.70,"London, United Kingdom",www.bridgesfundmanagement.com,$5B to $10B,,,,,,,,,,,,
David Titus,Windward Ventures,,,,Venture Capital,www.windwardventures.com,Southern California,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.50,"San Diego, CA",www.windwardventures.com,$5B to $10B,No,67,10X and above,"IPO,Liquidation,Acquisition",Heavily Supportive,Heavily Involved ,Days,3,12%,Low,100%,Yes
David A. Jones,Chrysalis Ventures,,,,Venture Capital,www.chrysalisventures.com,"Mid Atlantic, Midwest, Southeast, Southwest","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.15,$1.50,"Louisville, KY",www.chrysalisventures.com,$5B to $10B,,,,,,,,,,,,
Cynthia Ringo,DBL Partners,,,,Venture Capital,www.dbl.vc,"Africa, Central America, North America","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"San Francisco, CA",www.dbl.vc,Over $10 Billion,,,,,,,,,,,,
Aristos Doxiadis,Big Pi Ventures,,,,Venture Capital,www.bigpi.vc,Greece,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.50,,www.bigpi.vc,Over $10 Billion,,,,,,,,,,,,
Arun Ramamoorthy,Pinnacle Ventures,,,,Venture Capital,pinnacleventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt,Bonds",$0.50,$25.00,,pinnacleventures.com,Over $10 Billion,,,,,,,,,,,,
Kiki Broe,Three Leaf Ventures,,,,Corporate Venture Capital,threeleafventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.00,,threeleafventures.com,Over $10 Billion,,,,,,,,,,,,
Robert E. Patterson,Peninsula Ventures,,,,Venture Capital,www.peninsulaventures.com,"Midwest, Northwest, West Coast","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$6.00,,www.peninsulaventures.com,Over $10 Billion,,,,,,,,,,,,
Euan Guttridge,Reinforced Ventures,,,,Venture Capital,www.reinforcedventures.com,Pennsylvania,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.15,$0.02,"Pittsburgh, PA",www.reinforcedventures.com,Over $10 Billion,,,,,,,,,,,,
Adam Draper,Boost VC,,,,Accelerator/Incubator,www.boost.vc,"Bay Area, California","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Mateo, CA",www.boost.vc,Over $10 Billion,,,,,,,,,,,,
,Newlight Management,,,,Venture Capital,www.nlventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.40,"Jericho, NY",www.nlventures.com,Under $5 Billion,,,,,,,,,,,,
David M. Mars,White Owl Capital Partners,,,,Venture Capital,www.whiteowlcap.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$20.00,,www.whiteowlcap.com,Under $5 Billion,,,,,,,,,,,,
Ryan Swagar,Hinge Capital,,,,Venture Capital,www.hingecapital.com,"Americas, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.hingecapital.com,Under $5 Billion,,,,,,,,,,,,
Brian Matthews,QuestMark Partners,,,,Venture Capital,www.questm.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$3.00,$0.50,"Baltimore, MD",www.questm.com,Under $5 Billion,,,,,,,,,,,,
Jennifer Zimmerman,General Catalyst,,,,Venture Capital,www.generalcatalyst.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$2.00,,www.generalcatalyst.com,Under $5 Billion,,,,,,,,,,,,
Christine Hinton,GGV Capital,,,,Venture Capital,www.ggvc.com,"Africa, Caucasus, Central America, Central Asia, East Asia, India, Mexico, Middle East, South America, Southeast Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$5.00,"Menlo Park, CA",www.ggvc.com,$5B to $10B,,,,,,,,,,,,
Dennis Baldwin,Breakaway Ventures,,,,Venture Capital,breakaway.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$3.00,$8.00,"Needham, MA",breakaway.com,$5B to $10B,,,,,,,,,,,,
Raju Penumetcha Narasimha,Globevestor,,,,Venture Capital,www.globevestor.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.00,$0.00,"San Mateo, CA",www.globevestor.com,$5B to $10B,,,,,,,,,,,,
Stephen H. Marcus,Riot Ventures,,,,Venture Capital,www.riot.vc,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.riot.vc,$5B to $10B,,,,,,,,,,,,
,Cedar Grove Investments,,,,Venture Capital,www.cedargroveinv.com,California,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Seattle, WA",www.cedargroveinv.com,$5B to $10B,,,,,,,,,,,,
Safa Rashtchy,Think +,,,,Venture Capital,www.thinkplus.vc,"Americas, Canada, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.thinkplus.vc,Over $10 Billion,,,,,,,,,,,,
Omar Hamoui,Mucker Capital,,,,Venture Capital,www.mucker.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"Santa Monica, CA",www.mucker.com,Over $10 Billion,,,,,,,,,,,,
Wade Fallin,Surgical Frontiers,,,,Venture Capital,www.surgicalfrontiers.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$2.00,$40.00,"Logan, UT",www.surgicalfrontiers.com,Over $10 Billion,,,,,,,,,,,,
Robert Chang,Mogility Capital,,,,Venture Capital,www.mogilitycapital.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.mogilitycapital.com,Over $10 Billion,,,,,,,,,,,,
Jack Miner,Maryland Venture Fund,,,,Venture Capital,www.marylandventurefund.com,"Maryland, Mid Atlantic","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.50,,www.marylandventurefund.com,Over $10 Billion,,,,,,,,,,,,
Randy Hawks,Claremont Creek Ventures,,,,Hedge Fund,www.claremontcreek.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.claremontcreek.com,Under $5 Billion,,,,,,,,,,,,
Raymond Bethel,FirstMark Capital,,,,Venture Capital,www.firstmarkcap.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$1.00,"New York, NY",www.firstmarkcap.com,Under $5 Billion,,,,,,,,,,,,
Jim Andrew,Walnut Ventures,,,,Angel Group,www.walnutventures.com,United Kingdom,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.10,"Cambridge, MA",www.walnutventures.com,Under $5 Billion,Yes,45,10X and above,Acquisition,Heavily Supportive,Accept Others DD Reports,Months,4,10%,High,39%,Case by case
Robert Locke,JCI Ventures,,,,Corporate Venture Capital,https://www.johnsoncontrols.com/ventures,"Asia, Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$20.00,,,Under $5 Billion,,,,,,,,,,,,
Vishal Harpalani,79 Ventures,,,,Venture Capital,automation.vc,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$1.00,,automation.vc,Under $5 Billion,,,,,,,,,,,,
Romana Brown,Cross Creek,,,,Venture Capital,www.crosscreek.vc,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Salt Lake City, UT",www.crosscreek.vc,$5B to $10B,,,,,,,,,,,,
,Flanders Language Valley Fund,,,,Venture Capital,www.flvfund.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.70,"Ieper, Belgium",www.flvfund.com,$5B to $10B,,,,,,,,,,,,
Stéphane Simoncini,Crédit Mutuel Innovation,,,,Venture Capital,https://www.creditmutuel-innovation.eu/fr/index.html,Europe,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.11,$2.26,"Paris, France",,$5B to $10B,,,,,,,,,,,,
Timo Linnainmaa,Loudspring (HEL: LOUD),,,,Venture Capital,www.loudspring.earth,"Denmark, Estonia, Faroe Islands, Finland, Germany, Iceland, Latvia, Norway, Sweden","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.02,$0.57,"Helsinki, Finland",www.loudspring.earth,$5B to $10B,,,,,,,,,,,,
Matt Blomstedt,SpringTime Ventures,,,,Venture Capital,www.springtimeventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.04,$0.06,"Denver, CO",www.springtimeventures.com,Over $10 Billion,,,,,,,,,,,,
Gordon T. Wyatt,Accuitive Medical Ventures,,,,Venture Capital,www.amvpartners.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.90,"Duluth, GA",www.amvpartners.com,Over $10 Billion,,,,,,,,,,,,
Robert Helmedag,Rex Health Ventures,,,,Corporate Venture Capital,www.rexhealthventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"Raleigh, NC",www.rexhealthventures.com,Over $10 Billion,,,,,,,,,,,,
Bill Reichert,Garage Technology Ventures,,,,Venture Capital,www.garagetechnologyventures.com,"California, Midwest, Northwest, Southwest","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.garagetechnologyventures.com,Over $10 Billion,,,,,,,,,,,,
Daniel R. Vlock,Alopexx Enterprises,,,,Venture Capital,www.alopexx.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$20.00,"Concord, MA",www.alopexx.com,Under $5 Billion,,,,,,,,,,,,
Michael Oporto,Patricia Industries,,,,PE/Buyout,www.patriciaindustries.com,"North America, Northern Europe","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$20.00,$70.00,"Stockholm, Sweden",www.patriciaindustries.com,Under $5 Billion,,,,,,,,,,,,
Kevin Landis,Firsthand Capital Management,,,,Asset Manager,www.firsthandcapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$1.00,"San Jose, CA",www.firsthandcapital.com,Under $5 Billion,,,,,,,,,,,,
Saurabh Sharma,Jump Capital,,,,Venture Capital,www.jumpcap.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.jumpcap.com,Under $5 Billion,,,,,,,,,,,,
Ruthanne Monaghan,Fountain Healthcare Partners,,,,Venture Capital,www.fh-partners.com,"Europe, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.13,$1.70,"Dublin, Ireland",www.fh-partners.com,Under $5 Billion,,,,,,,,,,,,
Shantnu Sharma,AMD Ventures,,,,Corporate Venture Capital,www.amdventures.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$10.00,"Santa Clara, CA",www.amdventures.com,$5B to $10B,,,,,,,,,,,,
Melissa Mears,Octopus Ventures,,,,Venture Capital,www.octopusventures.com,Europe,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.13,$1.33,"London, United Kingdom",www.octopusventures.com,$5B to $10B,,,,,,,,,,,,
John H. Friedman,Easton Capital Investment Group,,,,Venture Capital,www.eastoncapital.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$20.00,,www.eastoncapital.com,Over $10 Billion,,,,,,,,,,,,
Shirley Chen,TransLink Capital,,,,Venture Capital,www.translinkcapital.com,"Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.20,$0.60,"Palo Alto, CA",www.translinkcapital.com,Over $10 Billion,,,,,,,,,,,,
Oliver Hopkinson,Revelis Capital Group,,,,Family Office,www.reveliscapitalgroup.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.reveliscapitalgroup.com,Over $10 Billion,,,,,,,,,,,,
Chad S. Alfeld,Landmark Partners an Ares Company,,,,Secondary Buyer,www.landmarkpartners.com,"Americas, Asia, Canada, Europe, Middle East, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$100.00,,www.landmarkpartners.com,Over $10 Billion,,,,,,,,,,,,
Vincent Wols,Forward VC,,,,Venture Capital,forwardvc.com, ,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,Netherlands,forwardvc.com,Under $5 Billion,,,,,,,,,,,,
Gilad Rosenberg,Clal Biotechnology Industries (TAE: CBI),,,,Venture Capital,www.cbi.co.il,"Israel, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.cbi.co.il,Under $5 Billion,,,,,,,,,,,,
Hem Suri,Spark Growth Ventures,,,,Venture Capital,www.sparkgv.com,"Canada, England, France, Germany, India, Singapore, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.sparkgv.com,Under $5 Billion,,,,,,,,,,,,
Jérôme Nycz,BDC Capital,,,,Venture Capital,,Canada,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$2.50,$0.03,"Montreal, Canada",,Under $5 Billion,,,,,,,,,,,,
Ying Zhang,Matrix Partners China,,,,Venture Capital,www.matrixpartners.cn,China,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.48,$10.00,,www.matrixpartners.cn,Under $5 Billion,,,,,,,,,,,,
Ravi Venkatesan,Kalaari Capital,,,,Venture Capital,www.kalaari.com,"India, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"Bangalore, India",www.kalaari.com,Under $5 Billion,,,,,,,,,,,,
Pascal Levensohn,Pascal Levensohn,,,,Venture Capital,www.pascallevensohn.com,California,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$0.05,"San Francisco, CA",www.pascallevensohn.com,$5B to $10B,,,,,,,,,,,,
Gary L. Shields,AvTech Ventures,,,,Venture Capital,www.avtechventures.com,"Japan, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.40,"Rancho Santa Fe, CA",www.avtechventures.com,$5B to $10B,,,,,,,,,,,,
Livingston Parsons,Accion,,,,Impact Investing,www.accion.org,"Africa, Central America, China, Europe, Hong Kong, India, Oceania, South America, Southeast Asia, Taiwan","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.04,$0.05,"Cambridge, MA",www.accion.org,$5B to $10B,,,,,,,,,,,,
Scott Button,Venture Investors,,,,Venture Capital,www.ventureinvestors.com,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.80,"Madison, WI",www.ventureinvestors.com,$5B to $10B,Yes,10,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,4,5%,High,82%,Yes
William Porteous,RRE Ventures,,,,Venture Capital,www.rre.com,"Canada, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.80,"New York, NY",www.rre.com,$5B to $10B,,,,,,,,,,,,
Segolene Scarborough,Lux Capital,,,,Venture Capital,www.luxcapital.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$50.00,,www.luxcapital.com,Over $10 Billion,,,,,,,,,,,,
Jeremy Abelson,Irving Investors,,,,Growth/Expansion,www.irvinginvestors.com,,"Pre-SEED,Series A,SEED","Convertible Debt,Debt,Crowdfunding,Credit Line",$2.00,$25.00,"New York, NY",www.irvinginvestors.com,Over $10 Billion,,,,,,,,,,,,
Lu Zhang,Fusion Fund,,,,Venture Capital,www.fusionfund.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$3.00,,www.fusionfund.com,Over $10 Billion,,,,,,,,,,,,
Iñigo López-Huerta,Ysios Capital,,,,Venture Capital,www.ysioscapital.com,Europe,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.11,$1.02,"San Sebastián, Spain",www.ysioscapital.com,Over $10 Billion,Yes,81,2X - 5X,"Liquidation,Acquisition",Heavily Supportive,Via Due Diligence Committee,Weeks,1,12%,Medium,5%,Yes
Daniel Hoffman,Invest Nebraska,,,,Accelerator/Incubator,www.investnebraska.com,Nebraska,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.05,"Lincoln, NE",www.investnebraska.com,Under $5 Billion,,,,,,,,,,,,
Adrian Li,Convergence Ventures,,,,Venture Capital,www.convergencevc.com,Southeast Asia,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.03,"Jakarta, Indonesia",www.convergencevc.com,Under $5 Billion,,,,,,,,,,,,
Brian R. Smith,S3 Ventures,,,,Venture Capital,www.s3vc.com,"Southwest, Texas","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$0.03,"Austin, TX",www.s3vc.com,Under $5 Billion,,,,,,,,,,,,
Grace Chui-Miller,Correlation Ventures,,,,Venture Capital,www.correlationvc.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.01,$0.40,"San Francisco, CA",www.correlationvc.com,Under $5 Billion,,,,,,,,,,,,
Samuel McKay,Axiom Venture Partners,,,,Venture Capital,www.axiomventures.com,United States,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.10,$0.50,"East Hartford, CT",www.axiomventures.com,$5B to $10B,,,,,,,,,,,,
Jonathon Triest,Ludlow Ventures,,,,Venture Capital,www.ludlowventures.com,,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.25,$0.75,"Detroit, MI",www.ludlowventures.com,$5B to $10B,,,,,,,,,,,,
Henry R. Kaestner,Sovereign's Capital,,,,PE/Buyout,www.sovereignscapital.com,"Southeast Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.03,$0.20,"San Francisco, CA",www.sovereignscapital.com,$5B to $10B,,,,,,,,,,,,
Nick Thompson,B Capital Group,,,,Venture Capital,www.bcapgroup.com,"Asia, United States","Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$1.00,$5.00,"Manhattan Beach, CA",www.bcapgroup.com,$5B to $10B,,,,,,,,,,,,
Christopher Eckstrom,Rock River Capital Partners,,,,Venture Capital,www.rockrivercapital.com,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.50,,www.rockrivercapital.com,Over $10 Billion,,,,,,,,,,,,
Peter W. Farner,TGap Ventures,,,,Venture Capital,www.tgapvcfunds.com,Midwest,"Pre-SEED,Series A,SEED","Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.tgapvcfunds.com,Over $10 Billion,,,,,,,,,,,,
