Investor Name,Fund from Fund Master,Industry,Industry Copy,Vertical,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Type,Max Check size,Min check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Joseph H. Horowitz,Icon Ventures,Information Technology,,"Artificial Intelligence & Machine Learning,Big Data,Cybersecurity,E-Commerce,EdTech,FinTech,HealthTech,InsurTech,Internet of Things,Marketing Tech,Mobile,Robotics and Drones,SaaS,Virtual Reality,Wearables & Quantified Self",Venture Capital,www.iconventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,8.00,"Palo Alto, CA",www.iconventures.com,,,,,,,,,,,,,,,
Michael Lousteau,I2BF Global Ventures,"Energy Services,Exploration,Production and Refining,Metals,Minerals and Mining,Other Energy,Software",,"Artificial Intelligence & Machine Learning,CleanTech,LOHAS & Wellness,TMT",Venture Capital,www.i2bf.com,"Europe, Israel, South Korea, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,0.50,"Beverly Hills, CA",www.i2bf.com,,,,,,,,,,,,,,,
Srini Koppolu,Hyderabad Angels,"Consumer Products and Services (B2C),Software",,TMT,Angel Group,www.hyderabadangels.in,"India, Singapore, United States",Angel Round,"Convertible Debt,SAFE,Debt",0.44,0.06,"Hyderabad, India",www.hyderabadangels.in,,,,,,,,,,,,,,,
Douglas Broyles,Huntington Ventures,Software,,"Manufacturing,SaaS,TMT",Venture Capital,www.huntingtonventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.50,"Irvine, CA",www.huntingtonventures.com,,,,,,,,,,,,,,,
John P. Truehart,Hudson Ventures,Software,,TMT,Venture Capital,www.hudsonptr.com,"Mid Atlantic, Northeast","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",6.00,1.00,"New York, NY",www.hudsonptr.com,,,,,,,,,,,,,,,
Stephanie Campbell,Houston Angel Network,"Aerospace and Defense,Consumer Products and Services (B2C),Energy,Healthcare Services,Healthcare Technology Systems,Information Technology,Materials and Resources",,"3D Printing,Artificial Intelligence & Machine Learning,CleanTech,Cybersecurity,Digital Health,E-Commerce,EdTech,FemTech,FinTech,FoodTech,HealthTech,Internet of Things,Life Sciences,LOHAS & Wellness,Ridesharing,Robotics and Drones,SaaS,Space Technology,Virtual Reality,Wearables & Quantified Self",Angel Group,www.houstonangelnetwork.org,United States,"Angel Round,Bridge,Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.03,"Houston, TX",www.houstonangelnetwork.org,,,,,,,,,,,,,,,
Mark Olesnavage,Hopen Life Science Ventures,"Clinics/Outpatient Services,Drug Discovery,Healthcare Devices and Supplies,Healthcare Technology Systems",,"HealthTech,Life Sciences,Oncology",Venture Capital,www.hopenls.com,Midwest,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,3.00,"Grand Rapids, MI",www.hopenls.com,,,,,,,,,,,,,,,
Hunter Walk,Homebrew,"Aerospace and Defense,Healthcare Services,Software,Wireless Communications Equipment",,"AdTech,AgTech,Artificial Intelligence & Machine Learning,Big Data,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,E-Commerce,FinTech,HealthTech,Internet of Things,Mobile,Mobile Commerce,SaaS,TMT",Venture Capital,www.homebrew.co,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.75,"San Francisco, CA",www.homebrew.co,,,,,,,,,,,,,,,
Steve Christensen,Highmark Health Ventures,Pharmaceuticals and Biotechnology,,"FinTech,HealthTech,InsurTech,Life Sciences,LOHAS & Wellness,Wearables & Quantified Self",Venture Capital,www.highmarkhealth.org,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,5.00,"Pittsburgh, PA",www.highmarkhealth.org,,,,,,,,,,,,,,,
John R. Black,H.I.G. Growth Partners,"Commercial Services,Healthcare Technology Systems,Software",,"Big Data,CloudTech & DevOps,E-Commerce,Industrials",Growth/Expansion,www.higgrowth.com, ,PE Growth/Expansion,"Convertible Debt,SAFE,Debt",75.00,5.00,"Miami, FL",www.higgrowth.com,,,,,,,,,,,,,,,
Douglas Berman,H.I.G. Capital,"Aerospace and Defense,Beverages,Building Products,Chemicals and Gases,Consumer Durables,Distributors/Wholesale (B2C),Education and Training Services (B2B),Educational and Training Services (B2C),Energy Services,Food Products,Healthcare,IT Services,Media,Other Business Products and Services,Other Information Technology,Software,Transportation",,"AdTech,AgTech,Cybersecurity,E-Commerce,FinTech,HealthTech,Industrials,Life Sciences,Manufacturing,Oncology,SaaS,TMT",PE/Buyout,www.higcapital.com,"Europe, United States","Add-on,Buy-out,Carveout,Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt","1,000.00",50.00,"Miami, FL",www.higcapital.com,,,,,,,,,,,,,,,
Michael Y. Mashaal,HealthCor Partners Management,"Healthcare Devices and Supplies,Healthcare Services,Pharmaceuticals and Biotechnology",,"Digital Health,HealthTech,Life Sciences,Manufacturing",Growth/Expansion,www.healthcorpartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",40.00,10.00,"New York, NY",www.healthcorpartners.com,,,,,,,,,,,,,,,
Douglass Given,Health2047 Capital Partners,"Healthcare Services,Healthcare Technology Systems,Insurance,Software",,"Artificial Intelligence & Machine Learning,Digital Health,HealthTech,Impact Investing",Venture Capital,www.health2047capital.com,United States,"Joint Venture,Early Stage,Seed","Convertible Debt,SAFE,Debt",30.00,5.00,"Menlo Park, CA",www.health2047capital.com,,,,,,,,,,,,,,,
Dominic Wilhelm,Headline (San Francisco),"Apparel and Accessories,Business/Productivity Software,Financial Services,Financial Software,Healthcare,Internet Retail,Internet Service Providers,Media",,"AdTech,Artificial Intelligence & Machine Learning,Cybersecurity,Digital Health,E-Commerce,FinTech,Mobile,SaaS",Venture Capital,www.headline.com,"Asia, Brazil, Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",50.00,1.00,"San Francisco, CA",www.headline.com,,,,,,,,,,,,,,,
Paul A. Maeder,Highland Capital Partners,"Commercial Products,Commercial Services,Media,Other Financial Services,Pharmaceuticals and Biotechnology,Software",,"AdTech,Artificial Intelligence & Machine Learning,CloudTech & DevOps,Construction Technology,Cryptocurrency/Blockchain,Cybersecurity,Digital Health,E-Commerce,EdTech,FinTech,HealthTech,InsurTech,Internet of Things,Manufacturing,Mobile,Robotics and Drones,SaaS,TMT",Venture Capital,www.hcp.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"Cambridge, MA",www.hcp.com,,,,,,,,,,,,,,,
Karin Lagerlund,HarbourVest Partners,"Apparel and Accessories,Capital Markets/Institutions,Chemicals and Gases,Commercial Banks,Commercial Products,Commercial Services,Commercial Transportation,Communications and Networking,Computer Hardware,Consumer Durables,Consumer Non-Durables,Containers and Packaging,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Insurance,IT Services,Media,Other Consumer Products and Services,Other Financial Services,Pharmaceuticals and Biotechnology,Retail,Semiconductors,Software",,"3D Printing,CleanTech,E-Commerce,FinTech,Gaming,HealthTech,Industrials,Manufacturing,Mobile,SaaS,TMT",PE/Buyout,www.harbourvest.com,"Africa, Americas, Asia, Europe, Middle East, Oceania, United States","Add-on,Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion","Convertible Debt,SAFE,Debt",100.00,5.00,"Boston, MA",www.harbourvest.com,,,,,,,,,,,,,,,
Chih-Kai Cheng,Harbinger Venture Management,"Consumer Durables,Healthcare Devices and Supplies,Software",,"Manufacturing,Mobile,TMT",Venture Capital,www.harbingervc.com,"Asia, North America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Taipei, Taiwan",www.harbingervc.com,,,,,,,,,,,,,,,
Daniel Lloreda,H20 Capital Innovation,Software,,"Artificial Intelligence & Machine Learning,Big Data,E-Commerce,Mobile Commerce,Robotics and Drones,SaaS",Venture Capital,www.h20capital.com,"North America, South America","Early Stage,Seed","Convertible Debt,SAFE,Debt",1.50,0.25,"Miami, FL",www.h20capital.com,,,,,,,,,,,,,,,
Anne Rogove Stone,Gurnet Point Capital,Information Technology,,"Digital Health,FemTech,HealthTech,Life Sciences,Oncology",PE/Buyout,www.gurnetpointcapital.com,"Canada, Europe, United States","Acquisition Financing,Add-on,Buy-out,Carveout,Corporate Licensing,Early Stage,Late Stage,M&A,PE Growth/Expansion,Public to Private,Secondary Transaction - Private,Seed","Convertible Debt,SAFE,Debt","1,000.00",5.00,"Cambridge, MA",www.gurnetpointcapital.com,,,,,,,,,,,,,,,
Richard Molloy,Florida Gulfshore Capital,"Commercial Products,Commercial Services,Other Business Products and Services,Other Information Technology,Software",,"Advanced Manufacturing,B2B Payments,Industrials,Internet of Things,LOHAS & Wellness,Manufacturing,SaaS,TMT",Venture Capital,www.gulfshorecap.com,Southeast,"Early Stage,Seed","Convertible Debt,SAFE,Debt","1,000.00",250.00,"Naples, FL",www.gulfshorecap.com,,,,,,,,,,,,,,,
Ashish Taneja,growX Ventures,"Business Products and Services (B2B),Software",,"SaaS,TMT",Venture Capital,www.growxventures.com, ,"Angel Round,Early Stage,Seed","Convertible Debt,SAFE,Debt",0.01,0.01,"New Delhi, India",www.growxventures.com,,,,,,,,,,,,,,,
David Levi,GrowthWorks,"Biotechnology,Energy,Software",,"CleanTech,Climate Tech,Life Sciences,TMT",Venture Capital,www.growthworks.ca,Canada,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",7.70,0.19,"Vancouver, Canada",www.growthworks.ca,,,,,,,,,,,,,,,
Denis Dovgopoliy,GrowthUP Business Accelerator,Software,,"SaaS,TMT",Accelerator/Incubator,www.growthup.com,"Europe, United States","Early Stage,Seed","Convertible Debt,SAFE,Debt",0.05,0.03,"Kyiv, Ukraine",www.growthup.com,,,,,,,,,,,,,,,
David Stark,Ground Up Ventures,"Business Products and Services (B2B),Consumer Products and Services (B2C),Software",,"FinTech,InsurTech,Micro-Mobility,Real Estate Technology,SaaS",Venture Capital,www.groundup.vc,"Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.25,"Philadelphia, PA",www.groundup.vc,,,,,,,,,,,,,,,
Phil Sanderson,Griffin Gaming Partners,Social/Platform Software,,"Esports,Gaming,Mobile,TMT",Venture Capital,www.griffingp.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,1.00,"Santa Monica, CA",www.griffingp.com,,,,,,,,,,,,,,,
Ellie Wheeler,Greycroft,"Cable Service Providers,Casinos and Gaming,Connectivity Products,Consulting Services (B2B),Food Products,Household Products,Infrastructure,Internet Retail,Internet Software,IT Services,Legal Services (B2B),Media and Information Services (B2B),Multimedia and Design Software,Other Commercial Services,Other Information Technology,Other Restaurants,Hotels and Leisure,Other Services (B2C Non-Financial),Other Transportation,Printing Services (B2B),Publishing,Real Estate Services (B2C),Recreational Goods,Social Content,Specialty Retail",,"AdTech,Artificial Intelligence & Machine Learning,Big Data,E-Commerce,FinTech,Internet of Things,Manufacturing,Mobile,SaaS",Venture Capital,www.greycroft.com,United States,"Early Stage,IPO,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",50.00,0.50,"New York, NY",www.greycroft.com,,,,,,,,,,,,,,,
Lawrence W. Greer,Greer Capital Advisors,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology",,"Life Sciences,Oncology",Venture Capital,www.greercap.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",2.00,0.10,"Mountain Brook, AL",www.greercap.com,,,,,,,,,,,,,,,
Emanuel Martinez,GreenHills Ventures,"Healthcare Devices and Supplies,IT Services,Software",,"HealthTech,Mobile,SaaS,TMT",Venture Capital,www.greenhillsventures.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",25.00,0.10,"New York, NY",www.greenhillsventures.com,,,,,,,,,,,,,,,
Sherman I. Chu,Grayhawk Capital,"Healthcare Technology Systems,Other Financial Services,Software",,"Big Data,Cybersecurity,FinTech,HealthTech,Mobile,SaaS",Venture Capital,www.grayhawkcapital.us,Southwest,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",6.00,2.00,"Scottsdale, AZ",www.grayhawkcapital.us,,,,,,,,,,,,,,,
Steven A. Markowitz,Goldin Ventures,Software,,"SaaS,TMT",Family Office,www.goldinventures.com,Mid Atlantic,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.30,"Macungie, PA",www.goldinventures.com,,,,,,,,,,,,,,,
Rob Douglas,Golden Triangle Angelnet,Software,,TMT,Angel Group,www.goldentriangleangelnet.ca,Ontario,Seed,"Convertible Debt,SAFE,Debt",0.75,0.25,"Cambridge, Canada",www.goldentriangleangelnet.ca,,,,,,,,,,,,,,,
Peggy Wallace,Golden Seeds,"Apparel and Accessories,Commercial Products,Commercial Services,Commercial Transportation,Communications and Networking,Computer Hardware,Consumer Durables,Consumer Non-Durables,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,IT Services,Media,Other Business Products and Services,Other Consumer Products and Services,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Restaurants,Hotels and Leisure,Retail,Semiconductors,Services (Non-Financial),Software,Transportation",,"AdTech,Digital Health,HealthTech,Mobile,SaaS,TMT",Venture Capital,www.goldenseeds.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"New York, NY",www.goldenseeds.com,,,,,,,,,,,,,,,
Vinnie Lauria,Golden Gate Ventures,Software,,"E-Commerce,FinTech,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.goldengate.vc,Southeast Asia,"Bridge,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,1.00,"Singapore, Singapore",www.goldengate.vc,,,,,,,,,,,,,,,
Timothy Keane,Golden Angels Investors,"Business Products and Services (B2B),Consumer Products and Services (B2C),Financial Services,Healthcare Devices and Supplies,Materials and Resources,Software",,"EdTech,FinTech,HealthTech",Angel Group,www.goldenangelsinvestors.com,United States,Early Stage,"Convertible Debt,SAFE,Debt",1.00,0.15,"Brookfield, WI",www.goldenangelsinvestors.com,,,,,,,,,,,,,,,
Raju Penumetcha Narasimha,Globevestor,"Commercial Services,Media,Restaurants,Hotels and Leisure,Services (Non-Financial),Software",,"AdTech,E-Commerce,EdTech,FinTech,Mobile,SaaS,TMT",Venture Capital,www.globevestor.com,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.01,0.01,"San Mateo, CA",www.globevestor.com,,,,,,,,,,,,,,,
,Global Coin Ventures,"Financial Services,Information Technology",,Cryptocurrency/Blockchain,Venture Capital,www.globalcoin.ventures,"Asia, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.03,"New York, NY",www.globalcoin.ventures,,,,,,,,,,,,,,,
Christine Hinton,GGV Capital,"Commercial Banks,Commercial Services,Commercial/Professional Insurance,Connectivity Products,Software,Systems and Information Management",,"Big Data,Cybersecurity,Ephemeral Content,Internet of Things,Mobile,Robotics and Drones,SaaS",Venture Capital,www.ggvc.com,"Africa, Caucasus, Central America, Central Asia, East Asia, India, Mexico, Middle East, South America, Southeast Asia, United States","Acquisition Financing,Add-on,Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",50.00,0.25,"Menlo Park, CA",www.ggvc.com,,,,,,,,,,,,,,,
Teppei Tsutsui,GFR Fund,"Media,Software",,Artificial Intelligence & Machine Learning,Venture Capital,www.gfrfund.com,"California, Europe, North America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.10,"San Francisco, CA",www.gfrfund.com,,,,,,,,,,,,,,,
Gil Beyda,Genacast Ventures,"Business Products and Services (B2B),Software",,"AdTech,Artificial Intelligence & Machine Learning,Augmented Reality,B2B Payments,Big Data,Cybersecurity,E-Commerce,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.genacast.com,Northeast,"Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"New York, NY",www.genacast.com,,,,,,,,,,,,,,,
Don Douglas,Geekdom Fund,"Business Products and Services (B2B),Consumer Products and Services (B2C),Software",,"Artificial Intelligence & Machine Learning,Cryptocurrency/Blockchain,E-Commerce,Robotics and Drones,SaaS",Venture Capital,www.geekdomfund.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.05,"San Antonio, TX",www.geekdomfund.com,,,,,,,,,,,,,,,
Rakesh Sehgal,GE Capital,"Commercial Services,Retail",,"CleanTech,Cybersecurity,Impact Investing,Manufacturing,TMT",Lender/Debt Provider,www.gecapital.com,"Africa, East Asia, Mid Atlantic, Middle East, Midwest, Mountain, Northeast, Northwest, Southeast, Southwest, West Coast, Western Europe","Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion",Loan,15.00,3.00,"Norwalk, CT",www.gecapital.com,,,,,,,,,,,,,,,
Paul Grossinger,Gaingels,"Other Financial Services,Software",,TMT,Venture Capital,www.gaingels.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",0.50,0.20,"New York, NY",www.gaingels.com,,,,,,,,,,,,,,,
Scott Chou,Gabriel Venture Partners,"Communications and Networking,Consumer Products and Services (B2C),Other Information Technology,Software",,"Big Data,CleanTech,EdTech,Internet of Things,SaaS,TMT",Venture Capital,www.gabrielvp.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",6.00,3.00,"San Mateo, CA",www.gabrielvp.com,,,,,,,,,,,,,,,
Haig Hengen,Front Row,Software,,"Augmented Reality,Big Data,CloudTech & DevOps,FinTech,Gaming,Internet of Things,Mobile,Mobile Commerce,Mobility Tech,Robotics and Drones,SaaS,Space Technology,Supply Chain Tech,TMT,Virtual Reality",Venture Capital,www.frontrowfund.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",2.00,0.25,"Newtown, PA",www.frontrowfund.com,,,,,,,,,,,,,,,
Will Prendergast,Frontline Ventures,"Education and Training Services (B2B),Educational and Training Services (B2C),Educational Software,Financial Services,Human Capital Services,Media and Information Services (B2B)",,"Big Data,E-Commerce,EdTech,FinTech,HR Tech,Internet of Things,Marketing Tech,Robotics and Drones,SaaS,TMT",Venture Capital,www.frontline.vc,"Europe, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.88,0.24,"Dublin, Ireland",www.frontline.vc,,,,,,,,,,,,,,,
David Cremin,Frontier Venture Capital,"Distributors/Wholesale,IT Services,Media,Software",,"Artificial Intelligence & Machine Learning,Internet of Things,Mobile,SaaS,TMT",Venture Capital,www.frontiervc.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.05,"Santa Monica, CA",www.frontiervc.com,,,,,,,,,,,,,,,
David Samuel,Freestyle Capital,"Application Software,Automation/Workflow Software,Business/Productivity Software,Communication Software,Communications and Networking,Computer Hardware,Database Software,Educational Software,Entertainment Software,Financial Software,Internet Software,IT Services,Other Information Technology,Semiconductors",,"Big Data,Internet of Things,SaaS,TMT",Venture Capital,www.freestyle.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.75,1.00,"Mill Valley, CA",www.freestyle.vc,,,,,,,,,,,,,,,
Brian J. Kieser,Fountainhead Investment Partners,"Construction and Engineering,Environmental Services (B2B),Pharmaceuticals and Biotechnology,Surgical Devices",,"Life Sciences,Manufacturing",Venture Capital,www.fountainheadinvestors.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"San Antonio, TX",www.fountainheadinvestors.com,,,,,,,,,,,,,,,
Lena Giacomini,Foundry Group,"Business Products and Services (B2B),Communications and Networking,Computer Hardware,Consumer Durables,IT Services,Other Information Technology,Retail,Semiconductors,Software",,"Mobile,Mobile Commerce,SaaS,TMT",Venture Capital,www.foundrygroup.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.50,0.25,"Boulder, CO",www.foundrygroup.com,,,,,,,,,,,,,,,
David Armstrong,Foundation Capital,"Commercial Services,Communications and Networking,Computer Hardware,Media,Software",,"Cryptocurrency/Blockchain,FinTech,Industrials,Marketing Tech,TMT",Venture Capital,www.foundationcapital.com,United States,"Early Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"Palo Alto, CA",www.foundationcapital.com,,,,,,,,,,,,,,,
Phil Nadel,Forefront Venture Partners,"Business Products and Services (B2B),Consumer Products and Services (B2C),Software",,"3D Printing,AdTech,Advanced Manufacturing,Artificial Intelligence & Machine Learning,AudioTech,Augmented Reality,Big Data,CleanTech,CloudTech & DevOps,Construction Technology,Cybersecurity,Digital Health,E-Commerce,EdTech,eSports,FemTech,FinTech,FoodTech,Gaming,HealthTech,HR Tech,InsurTech,Internet of Things,Legal Tech,LOHAS & Wellness,Manufacturing,Marketing Tech,Micro-Mobility,Mobile,Mobile Commerce,Mobility Tech,Mortgage Tech,Pet Technology,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,TMT,Virtual Reality,Wearables & Quantified Self",Venture Capital,www.forefrontvp.com,"Canada, Israel, United States, Western Europe","Bridge,Early Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",1.00,0.50,"Boca Raton, FL",www.forefrontvp.com,,,,,,,,,,,,,,,
Ollen Douglass,Motley Fool Ventures,Information Technology,,"Construction Technology,FinTech,FoodTech,HealthTech,HR Tech,Manufacturing,Real Estate Technology,SaaS",Venture Capital,www.foolventures.com,United States,"Early Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.50,"Alexandria, VA",www.foolventures.com,,,,,,,,,,,,,,,
,Flanders Language Valley Fund,Software,,TMT,Venture Capital,www.flvfund.com, ,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",7.00,1.00,"Ieper, Belgium",www.flvfund.com,,,,,,,,,,,,,,,
Fabrice Grinda,FJ Labs,"Business Products and Services (B2B),Consumer Products and Services (B2C),Financial Services",,"AdTech,B2B Payments,Big Data,E-Commerce,FinTech,FoodTech,Gaming,HealthTech,HR Tech,Internet of Things,Mobile,Real Estate Technology,Restaurant Technology,Ridesharing,Robotics and Drones,SaaS,TMT,Virtual Reality",Venture Capital,www.fjlabs.com,"Bay Area, Europe, India, Mexico, New York, New York Metro, South America","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",7.00,0.40,"New York, NY",www.fjlabs.com,,,,,,,,,,,,,,,
Brett Berson,First Round Capital,"Apparel and Accessories,Cable Service Providers,Capital Markets/Institutions,Commercial Banks,Commercial Products,Commercial Services,Computer Hardware,Connectivity Products,Consumer Durables,Consumer Non-Durables,Fiberoptic Equipment,Healthcare Devices and Supplies,Healthcare Services,Healthcare Technology Systems,Insurance,Internet Service Providers,Media,Other Business Products and Services,Other Consumer Products and Services,Other Financial Services,Other Healthcare,Other Information Technology,Pharmaceuticals and Biotechnology,Restaurants,Hotels and Leisure,Retail,Services (Non-Financial),Software,Telecommunications Service Providers,Transportation",,"AdTech,Advanced Manufacturing,B2B Payments,Digital Health,FinTech,HealthTech,InsurTech,Mobile,SaaS,TMT,Virtual Reality",Venture Capital,www.firstround.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",4.00,0.75,"Philadelphia, PA",www.firstround.com,,,,,,,,,,,,,,,
Andres Barreto,Firstrock Capital,Software,,"SaaS,TMT",Venture Capital,www.firstrock.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",5.00,0.05,"New York, NY",www.firstrock.vc,,,,,,,,,,,,,,,
Raymond Bethel,FirstMark Capital,"Apparel and Accessories,Software",,"AdTech,Artificial Intelligence & Machine Learning,Big Data,E-Commerce,EdTech,FinTech,HealthTech,Infrastructure,Internet of Things,Mobile,TMT",Venture Capital,www.firstmarkcap.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.25,"New York, NY",www.firstmarkcap.com,,,,,,,,,,,,,,,
Dan Kozikowski,FirstMark Capital,"Apparel and Accessories,Software",,"AdTech,Artificial Intelligence & Machine Learning,Big Data,E-Commerce,EdTech,FinTech,HealthTech,Infrastructure,Internet of Things,Mobile,TMT",Venture Capital,www.firstmarkcap.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,0.25,"New York, NY",www.firstmarkcap.com,,,,,,,,,,,,,,,
Kevin Landis,Firsthand Capital Management,"Semiconductors,Software",,"Manufacturing,TMT",Asset Manager,www.firsthandcapital.com,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",10.00,1.00,"San Jose, CA",www.firsthandcapital.com,,,,,,,,,,,,,,,
Jeffrey P. Blanchard,First Capital Group,"Computer Hardware,Software",,TMT,Growth/Expansion,www.firstcapitalgroup.com,"Southwest, Texas","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",6.00,2.00,"San Antonio, TX",www.firstcapitalgroup.com,,,,,,,,,,,,,,,
John Fein,Firebrand Ventures,Software,,TMT,Venture Capital,www.firebrandvc.com,"Canada, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.50,"Kansas City, KS",www.firebrandvc.com,,,,,,,,,,,,,,,
Gabriella Brignardello,Fika Ventures,"Business Products and Services (B2B),Business/Productivity Software,Consumer Products and Services (B2C),Financial Services,Healthcare",,"B2B Payments,Digital Health,E-Commerce,FinTech,HealthTech,SaaS,TMT",Venture Capital,www.fika.vc,United States,"Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",1.00,0.25,"Los Angeles, CA",www.fika.vc,,,,,,,,,,,,,,,
Ruthanne Monaghan,Fountain Healthcare Partners,"Healthcare Devices and Supplies,Pharmaceuticals and Biotechnology",,Life Sciences,Venture Capital,www.fh-partners.com,"Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed","Convertible Debt,SAFE,Debt",16.95,11.30,"Dublin, Ireland",www.fh-partners.com,,,,,,,,,,,,,,,
Conor Webb,ff Venture Capital,"Commercial Services,Consumer Durables,Financial Services,Software",,"Artificial Intelligence & Machine Learning,Big Data,Cybersecurity,FinTech,Internet of Things,Mobile,Robotics and Drones,SaaS,TMT",Venture Capital,www.ffvc.com,"Canada, Europe, Israel, United States","Early Stage,Late Stage,Seed","Convertible Debt,SAFE,Debt",0.70,0.30,"New York, NY",www.ffvc.com,,,,,,,,,,,,,,,
